Name,Category,Code,Price,Discounted Price,Details,Size,Color,Brand,Tag,Stock,Availability,Thumbnail,Image1,Image2,Image3,Minimum Order Quantity
"Premium Notebook","Stationery","NB001",299,249,"High-quality premium notebook with 200 pages of acid-free paper. Perfect for journaling, sketching, or note-taking.","A5","Black","Papier","Top Seller",45,"In Stock","https://images.unsplash.com/photo-1531346878377-a5be20888e57?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","https://images.unsplash.com/photo-1544816155-12df9643f363?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80","https://images.unsplash.com/photo-1589998059171-988d887df646?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1476&q=80","https://images.unsplash.com/photo-1456735190827-d1262f71b8a3?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1748&q=80",1
"Gel Pen Set (10 pcs)","Stationery","GP100",199,149,"Set of 10 colorful gel pens with smooth ink flow. Ideal for coloring, journaling, or everyday writing.","Standard","Multicolor","Pentech","",120,"In Stock","https://images.unsplash.com/photo-1581431886211-6b932f8367f2?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","https://images.unsplash.com/photo-1600497900863-2dfceefb5d8a?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","","",1
"Wireless Mouse","Electronics","WM200",899,699,"Ergonomic wireless mouse with adjustable DPI settings and silent click. Includes USB receiver.","Standard","Black","TechPro","",35,"In Stock","https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1467&q=80","https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=765&q=80","","",1
"Desk Organizer","Office Supplies","DO300",599,499,"Multi-compartment desk organizer for storing stationery, notes, and small office items.","Medium","White","HomeOffice","",28,"In Stock","https://images.unsplash.com/photo-1544247341-88c7687c0499?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","","","",1
"Mechanical Pencil Set","Stationery","MP150",249,199,"Set of 5 mechanical pencils with 0.5mm lead. Includes extra leads and erasers.","Standard","Silver","Pentech","",75,"In Stock","https://images.unsplash.com/photo-1595079676339-1534801ad6cf?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","","","",1
"Wireless Keyboard","Electronics","WK250",1299,999,"Slim wireless keyboard with quiet keys and long battery life. Compatible with all major operating systems.","Full Size","Black","TechPro","Top Seller",22,"In Stock","https://images.unsplash.com/photo-1587829741301-dc798b83add3?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1465&q=80","https://images.unsplash.com/photo-1541140532154-b024d705b90a?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1476&q=80","","",1
"Sticky Notes Pack","Office Supplies","SN400",149,99,"Pack of 6 colorful sticky note pads with 100 sheets each. Perfect for reminders and quick notes.","3x3 inch","Multicolor","Papier","",150,"In Stock","https://images.unsplash.com/photo-1586282391129-76a6df230234?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","","","",1
"Leather Journal","Stationery","LJ500",799,649,"Handcrafted leather journal with 240 pages of premium paper. Includes a bookmark and elastic closure.","A5","Brown","Papier","",18,"In Stock","https://images.unsplash.com/photo-1518893494097-2ac6833f1f20?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","https://images.unsplash.com/photo-1544816155-12df9643f363?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80","","",1
"USB-C Hub","Electronics","UH600",1499,1299,"7-in-1 USB-C hub with HDMI, USB 3.0, SD card reader, and power delivery. Compatible with laptops and tablets.","Compact","Silver","TechPro","",25,"In Stock","https://images.unsplash.com/photo-1659794542958-2b11e5f89b61?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","","","",1
"Desk Lamp","Office Supplies","DL700",899,799,"Adjustable LED desk lamp with 3 color modes and 5 brightness levels. Includes USB charging port.","Medium","White","HomeOffice","Top Seller",30,"In Stock","https://images.unsplash.com/photo-1534281305182-8708ce0a5f55?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","https://images.unsplash.com/photo-1507473885765-e6ed057f782c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","","",1
"Fountain Pen","Stationery","FP800",1299,1099,"Elegant fountain pen with medium nib and refillable ink cartridge. Comes in a gift box.","Standard","Blue","Pentech","",15,"In Stock","https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1506&q=80","","","",1
"Whiteboard (Medium)","Office Supplies","WB900",799,699,"Double-sided magnetic whiteboard with aluminum frame. Includes marker tray and mounting hardware.","24x36 inch","White","HomeOffice","",20,"In Stock","https://images.unsplash.com/photo-1517842645767-c639042777db?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","","","",1
"Laptop Stand","Electronics","LS1000",1199,999,"Adjustable aluminum laptop stand with cooling ventilation. Compatible with laptops up to 17 inches.","Standard","Silver","TechPro","",18,"In Stock","https://images.unsplash.com/photo-1611078489935-0cb964de46d6?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1074&q=80","https://images.unsplash.com/photo-1602143407151-7111542de6e8?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80","","",1
"File Organizer","Office Supplies","FO1100",499,399,"5-compartment mesh file organizer for documents and folders. Keeps your desk tidy and papers accessible.","Desktop","Black","HomeOffice","",40,"In Stock","https://images.unsplash.com/photo-1616628188859-7a11abb6fcc9?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1471&q=80","","","",1
"Wireless Earbuds","Electronics","WE1200",2499,1999,"True wireless earbuds with noise cancellation and 24-hour battery life. Includes charging case.","One Size","Black","TechPro","",12,"In Stock","https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","https://images.unsplash.com/photo-1590658268037-6bf12165a8df?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1632&q=80","","",1